job_id,job_role,industry,country,year,automation_risk_percent,ai_replacement_score,skill_gap_index,salary_before_usd,salary_after_usd,salary_change_percentage,skill_demand_growth_percentage,remote_feasibility_score,ai_adoption_level,education_requirement_level
0,Data Analyst,Technology,Canada,2021,26.22,30.94,73.20,101839,99454,-2.34,2.7,15.2,86.6,2
1,Accountant,Finance,Brazil,2020,52.08,56.41,2.06,146389,139517,-4.69,10.4,26.4,18.3,5
2,Teacher,Technology,USA,2020,31.30,31.61,43.19,64948,58369,-10.13,8.1,36.3,36.6,2
3,Customer Support Rep,Technology,Brazil,2021,56.92,63.42,19.97,91708,86716,-5.44,6.1,64.7,17.1,5
4,Teacher,Manufacturing,Japan,2024,14.55,17.17,96.56,127008,119379,-6.01,2.1,71.6,44.0,3
5,Software Engineer,Healthcare,Singapore,2022,8.54,8.53,3.44,139118,150562,8.23,-7.2,38.1,52.0,3
6,Accountant,Manufacturing,Australia,2020,48.27,42.18,96.96,123016,132100,7.38,6.7,18.0,19.6,1
7,Teacher,Finance,Australia,2026,13.17,12.25,38.87,62562,59680,-4.61,15.6,35.3,54.3,3
8,Marketing Specialist,Retail,USA,2025,19.86,22.27,7.46,148426,138379,-6.77,11.1,10.5,81.6,4
9,Financial Analyst,Finance,Singapore,2020,59.48,64.93,77.13,38885,35622,-8.39,1.9,87.7,62.3,5
10,HR Manager,Education,Germany,2025,33.16,27.37,31.10,69022,74630,8.13,18.6,89.9,47.2,1
11,Software Engineer,Manufacturing,Canada,2020,8.37,9.09,76.08,97353,97004,-0.36,20.7,57.1,42.8,2
12,Data Analyst,Transportation,Canada,2023,5.00,4.22,3.14,106369,107345,0.92,-14.9,91.7,24.9,3
13,Accountant,Education,Australia,2021,38.73,42.69,22.88,39238,36065,-8.08,0.0,93.7,80.8,3
14,Data Analyst,Healthcare,Brazil,2025,44.34,50.93,80.37,52388,52897,0.97,14.7,82.7,89.6,2
15,Accountant,Energy,Singapore,2022,32.26,27.23,22.79,81253,83659,2.96,7.6,10.6,51.1,5
16,Customer Support Rep,Education,USA,2021,54.22,48.19,11.99,70514,69377,-1.61,9.0,56.7,70.3,1
17,Mechanical Engineer,Transportation,Canada,2020,35.45,42.14,96.24,60214,48660,-19.19,4.7,35.6,3.7,2
18,Marketing Specialist,Education,Germany,2025,52.67,52.73,5.15,63438,62217,-1.92,8.0,23.0,49.0,4
19,Teacher,Energy,UK,2022,79.00,70.84,67.21,121394,130997,7.91,-4.1,43.1,63.2,2
20,Customer Support Rep,Retail,Singapore,2024,69.35,70.34,9.03,130236,117336,-9.91,-0.7,13.7,59.1,4
21,Mechanical Engineer,Manufacturing,UK,2024,57.43,46.32,51.21,57179,51105,-10.62,9.7,72.2,38.7,4
22,Data Analyst,Technology,India,2021,65.57,56.06,34.11,43617,47165,8.14,-7.3,83.6,55.5,2
